bowlers,bowlers_mean_runs
P Kumar,1.1872369529227793
Z Khan,1.0602228450301443
AA Noffke,3.2857142857142856
AB Dinda,1.2513869554382486
I Sharma,1.2821693271969903
AB Agarkar,1.6542765567765567
B Lee,1.2851760081269614
S Sreesanth,1.2822823798339793
JR Hopes,1.3888888888888886
JDP Oram,1.3695328636505106
MS Gony,1.6325603206666157
GD McGrath,1.0532467532467533
B Geeves,2.0
MF Maharoof,1.2430532607370843
MM Patel,1.1941505433476889
SR Watson,1.274764323748566
SK Trivedi,1.4498433583959898
WPUJC Vaas,1.109947875415844
RP Singh,1.259489269045443
SB Styris,1.20286063143206
JH Kallis,1.2056953663156667
A Nehra,1.3175716952787369
SM Pollock,1.1299680711445417
DS Kulkarni,1.3280713799420942
Mohammad Asif,1.7903015194681862
YK Pathan,1.240048192034776
PP Ojha,1.3366924345495774
IK Pathan,1.3143914170541249
VRV Singh,1.57997557997558
P Amarnath,2.0
Sohail Tanvir,0.9975701066610156
R Vinay Kumar,1.3010247063903573
DNT Zoysa,1.389957264957265
SB Bangar,0.8055555555555555
Shahid Afridi,0.9880952380952379
ST Jayasuriya,1.6666666666666667
SD Chitnis,1.8571428571428572
DW Steyn,1.1118280609697426
CRD Fernando,1.1378306878306879
DJ Bravo,1.4320965772578675
VY Mahesh,1.975091575091575
Umar Gul,0.8416361416361416
PJ Sangwan,1.5195324626872244
M Ntini,1.1277414669571533
JA Morkel,1.484586060169314
DP Vijaykumar,1.2821116138763198
Gagandeep Singh,1.1666666666666667
SC Ganguly,1.9285714285714286
AD Mascarenhas,1.1742688683865155
PP Chawla,1.3148141351617288
Shoaib Akhtar,1.287037037037037
PM Sarvesh Kumar,1.1428571428571428
A Mishra,1.4592535732241616
V Sehwag,3.428571428571429
Y Venugopal Rao,1.7321428571428572
RR Raje,1.2857142857142858
VS Yeligati,2.1666666666666665
A Kumble,0.7810858585858586
RR Powar,1.481034080298786
A Nel,2.0
Pankaj Singh,1.3398809523809525
BAW Mendis,0.7307256235827664
M Muralitharan,1.1814163029952502
Kamran Khan,1.6974424385138671
T Thushara,0.9175213675213675
A Flintoff,1.8888888888888886
SL Malinga,1.0819676583212898
DP Nannes,1.1166768867073127
AM Salvi,1.2184065934065933
YA Abdulla,1.2399267399267397
VS Malik,1.1295734907309092
FH Edwards,0.9221506784531993
Harmeet Singh,1.4057430664573525
L Balaji,1.1594074337763918
MC Henriques,1.4915297178455076
Anureet Singh,1.468286099865047
RR Bose,2.1818181818181817
Harbhajan Singh,1.242332372223908
DR Smith,1.7305194805194806
SK Raina,1.2636784511784511
KP Pietersen,1.1111111111111112
RE van der Merwe,1.31859410430839
M Kartik,1.311742578409245
CH Gayle,1.2349202176269845
S Tyagi,1.6751688482457712
Shoaib Ahmed,2.611111111111111
LR Shukla,2.357142857142857
GR Napier,0.5
JD Ryder,1.1666666666666667
RA Jadeja,1.3405228758169934
SM Harwood,0.30952380952380953
D du Preez,1.1666666666666667
AM Nayar,1.6666666666666667
RJ Harris,1.1338062441003618
RG Sharma,1.2271825396825398
A Singh,1.3680603654971393
BJ Hodge,1.6147392290249434
M Morkel,1.1931724186803738
LA Carseldine,0.8571428571428571
SS Sarkar,2.5
A Mithun,1.3679792429792432
A Symonds,0.9820774463631605
AD Mathews,1.4322055137844614
DJ Hussey,1.6492063492063493
JP Duminy,1.452007992007992
SK Warne,1.7834467120181405
Mashrafe Mortaza,2.0
B Akhil,2.0
CK Langeveldt,1.116966366966367
R Ashwin,1.217691761139903
RA Shaikh,1.8333333333333333
TM Dilshan,1.6483516483516483
SB Jakati,1.5965717783899604
Jaskaran Singh,1.1653846153846152
SW Tait,1.1643972973804904
A Uniyal,1.6923076923076923
R McLaren,1.4663477385187913
AG Murtaza,0.6444348244348244
SE Bond,0.9991258741258741
S Ladda,1.4444444444444446
KA Pollard,1.5657596371882085
Joginder Sharma,1.6043956043956047
UT Yadav,1.336166328476912
R Bhatia,1.777777777777778
SJ Srivastava,1.621825061385501
Y Nagar,1.6666666666666667
J Theron,1.5481423338566194
S Narwal,1.7403217697335345
AA Jhunjhunwala,1.5666666666666667
R Sharma,1.1473526473526474
KAJ Roach,1.0777777777777777
AB McDonald,1.3455433455433454
AC Voges,2.3174603174603177
MB Parmar,2.3333333333333335
SB Wagh,1.3326866846603687
DE Bollinger,1.3987747532024892
JD Unadkat,1.3353383857797068
DL Vettori,0.9762737262737263
AP Dole,1.7115384615384617
MR Marsh,1.7177489177489176
L Ablish,2.111111111111111
Iqbal Abdulla,1.1337722048066876
TG Southee,1.3971000908779354
S Randiv,1.6190476190476193
J Botha,1.3080979866694151
DT Christian,1.302996319300667
AC Thomas,1.0808181605975724
WD Parnell,1.2291023316664342
NJ Rimmington,1.1666666666666667
JJ van der Wath,1.4313131313131313
S Aravind,1.3760591160069109
Shakib Al Hasan,1.308330484132623
AL Menaria,0.9348484848484849
ND Doshi,1.861111111111111
NLTC Perera,1.2461301443654385
AN Ahmed,1.2686143513349397
BA Bhatt,1.291345406730022
J Syed Mohammad,1.388888888888889
NL McCullum,1.0909090909090908
JE Taylor,1.1003663003663002
KMDN Kulasekara,1.0576719576719575
Bipul Sharma,1.07172373081464
P Parameswaran,1.584920634920635
B Kumar,1.0526803580655557
VR Aaron,1.5685384129445217
AA Chavan,1.1636281073587575
Anand Rajan,0.9253968253968254
JP Faulkner,1.4929456212064909
SS Mundhe,0.8571428571428571
RW Price,2.3333333333333335
JEC Franklin,1.7777777777777777
GJ Maxwell,1.697409733124019
M de Lange,1.3508269508269508
MN Samuels,1.1652939652939653
KK Cooper,1.2170868347338937
Ankit Sharma,1.3787580607109156
DAJ Bracewell,1.1666666666666667
SP Narine,1.14499894494944
HV Patel,1.455532913866247
RR Bhatkal,3.3333333333333335
P Awana,1.3948162101756874
S Nadeem,1.5163487893404792
CJ McKay,2.2222222222222223
V Pratap Singh,1.67654115177335
STR Binny,1.2433276868059477
GB Hogg,1.007936507936508
Azhar Mahmood,1.181790014633152
A Chandila,1.247785547785548
LJ Wright,2.0
RJ Peterson,0.6
R Shukla,1.3598901098901097
KP Appanna,1.7142857142857142
BW Hilfenhaus,1.0389169625799262
S Dhawan,1.7888888888888888
AD Russell,1.5420193550387458
TP Sudhindra,1.5384615384615385
A Ashish Reddy,3.3333333333333335
K Upadhyay,1.8496810207336523
Sunny Gupta,1.6
MG Johnson,1.4573360113614533
JJ Bumrah,1.0167055571348351
S Badree,1.560365342718284
AS Rajpoot,1.6224600200214372
GH Vihari,1.4733333333333332
Mohammed Shami,1.4326046778021335
CH Morris,1.2886214782245842
Harmeet Singh (2),1.9166666666666667
S Kaul,1.6539823424438813
AJ Finch,0.4
MM Sharma,1.4232057954474573
R Rampaul,0.9949640826039967
SMSM Senanayake,0.956388793334098
R Dhawan,1.4368298368298367
JO Holder,1.5742966524216522
IC Pandey,1.2202973993555133
DJG Sammy,1.2916666666666667
KV Sharma,1.180564182194617
KW Richardson,1.1671780600352029
TL Suman,1.0
P Suyal,1.3850684403315983
MG Neser,3.0
Parvez Rasool,1.550925925925926
Sandeep Sharma,1.2753989296324473
PV Tambe,1.4311878597592884
NM Coulter-Nile,1.3151790724567494
CJ Anderson,1.6454133829133832
MA Starc,1.2412554839905268
AR Patel,1.270139941690962
SA Yadav,0.8
Imran Tahir,1.640740740740741
YS Chahal,1.375539516191934
BCJ Cutting,1.5901360544217689
BE Hendricks,1.6489730507587648
K Santokie,1.7857142857142858
PJ Cummins,1.257541602767624
JW Hastings,1.1825396825396826
S Gopal,1.3626373626373627
JDS Neesham,1.65
DJ Hooda,1.5559788359788362
D Wiese,1.1145502645502645
MJ McClenaghan,1.3426556431899
DJ Muthuswami,1.68999518999519
SA Abbott,2.1454545454545455
KC Cariappa,1.9353741496598638
TA Boult,1.2025053234361378
J Suchith,1.2319902319902323
Karanveer Singh,2.0
SN Thakur,1.4683623473097158
RG More,2.5
GS Sandhu,1.1666666666666667
J Yadav,1.0190856232300083
Gurkeerat Singh,1.7222222222222223
P Negi,1.7040404040404042
BB Sran,1.614859346095044
MP Stoinis,1.5801936159079015
Mustafizur Rahman,1.0935897435897437
AF Milne,1.8267316017316015
M Ashwin,1.8849206349206349
CR Brathwaite,1.0666666666666669
KH Pandya,1.1709297052154197
KJ Abbott,1.7194749694749698
P Sahu,1.5714285714285714
SM Boland,1.222222222222222
CJ Jordan,1.6770451770451769
S Kaushik,2.1825396825396823
A Zampa,1.2857142857142858
M Vijay,1.1428571428571428
DL Chahar,1.2988651160132807
KS Williamson,1.1666666666666667
TS Mills,1.415079365079365
A Choudhary,1.6667532467532467
Rashid Khan,1.226984126984127
BA Stokes,1.617399981435069
HH Pandya,1.6155473098330242
CR Woakes,1.6530465367965372
B Stanlake,1.1622914122914123
Tejas Baroka,1.3333333333333333
Kuldeep Yadav,1.2192714692714695
Basil Thampi,1.803671160148893
AJ Tye,1.3606012546229937
LH Ferguson,1.6728105228105226
Mohammad Nabi,0.9871794871794872
Mohammed Siraj,1.447358197358197
K Rabada,1.2876026354597785
Washington Sundar,1.3023564469718316
SS Agarwal,2.0
NB Singh,0.7777777777777778
T Natarajan,1.245177045177045
Ankit Soni,0.5
C de Grandhomme,1.0
MJ Henry,2.0833333333333335
R Tewatia,1.3333333333333333
Avesh Khan,1.835092180546726
NA Saini,1.3056588710434862
MM Ali,1.4316666666666666
M Prasidh Krishna,1.6060902907584829
Rasikh Salam,1.1538461538461537
K Gowtham,1.43725912930749
JC Archer,0.8508230261801688
SM Curran,1.2407557354925776
Mujeeb Ur Rahman,1.116220531605147
CV Varun,1.0476190476190477
GC Viljoen,1.565079365079365
S Lamichhane,1.6930976430976432
MJ Santner,1.603052503052503
JP Behrendorff,1.772449990097049
SC Kuggeleijn,1.8333333333333333
RD Chahar,1.5205128205128204
AS Joseph,1.5416666666666667
HF Gurney,0.9566108494679921
KK Ahmed,1.480271253800666
Arshdeep Singh,1.457413957653192
B Laughlin,1.558730158730159
TK Curran,1.2950680272108843
K Khejroliya,2.5277777777777777
A Dananjaya,2.0
Shivam Mavi,1.321042152292152
N Rana,0.10000000000000002
LE Plunkett,1.6413690476190474
L Ngidi,1.2241393198330996
KM Asif,1.205128205128205
DJ Willey,1.6757575757575758
JPR Scantlebury-Searles,1.8571428571428572
CJ Dala,2.4285714285714284
KMA Paul,2.2857142857142856
Harpreet Brar,1.4555555555555557
Y Prithvi Raj,2.6507936507936507
O Thomas,1.6845238095238095
S Sandeep Warrier,1.5
R Parag,1.6666666666666667
IS Sodhi,1.4166666666666667
JL Pattinson,1.6595238095238094
SS Cottrell,1.505349426402058
A Nortje,1.554607157548334
V Shankar,1.111111111111111
JR Hazlewood,1.0833333333333333
Ravi Bishnoi,1.4757936507936507
I Udana,1.8719155844155846
Kartik Tyagi,1.8112739112739114
KL Nagarkoti,1.1944444444444444
TU Deshpande,1.97034632034632
CJ Green,1.0909090909090908
DR Sams,1.5444444444444445
Monu Kumar,0.875
KA Jamieson,0.5833333333333334
M Jansen,2.0
